NAME	TITLE	SCORE	
NAALADL2		3.7854044	
MTURN		3.7801235	
TMEM30B		3.7763991	
SH3YL1		3.7430274	
MID2		3.7407103	
CTHRC1		3.7384884	
RERG		3.732064	
HOXB7		3.7292242	
HEXB		3.7174194	
HOXB2		3.708585	
KCNK1		3.6944277	
TMC4		3.6902957	
ARSD		3.6844625	
CYBA		3.6667645	
FRAS1		3.6471043	
ATP11A		3.6426687	
RTP4		3.6355085	
EMP2		3.6303163	
EVA1A		3.6269846	
TMEM54		3.6163852	
C12H6orf141		3.614155	
ERBB2		3.6122794	
RNF183		3.6110835	
RIPPLY1		3.5932493	
TFCP2L1		3.5849144	
MFAP4		3.5838141	
PLXDC2		3.582342	
DHX58		3.5791366	
SLC15A2		3.5608325	
IDNK		3.5602942	
B2M		3.5525365	
EPHA1		3.5506508	
ANO1		3.5480888	
GANAB		3.5372891	
ABHD14B		3.5361853	
TPD52		3.5356255	
DSC2		3.5300725	
SLC37A3		3.5240927	
ADAMTS16		3.5063996	
GABRE		3.4963562	
SLC26A3		3.4705973	
SPTLC3		3.4540884	
TNK1		3.4430296	
FAT2		3.438336	
MPPED2		3.419044	
NIN		3.4052846	
ELF1		3.401531	
NRIP1		3.395217	
CD9		3.3937936	
CAV1		3.39168	
HPN		3.3886814	
PGAP1		3.3883514	
WLS		3.3813148	
OSBPL5		3.3781338	
ID2		3.3768308	
FIBIN		3.3732905	
HOXB5		3.3723392	
ANK2		3.3627548	
DAPK1		3.3567297	
IFIH1		3.348565	
FKBP14		3.3481529	
ITGA3		3.3466825	
VGLL1		3.3444242	
PERP		3.3429043	
STON2		3.341866	
MBP		3.340311	
MSRB3		3.3397746	
GRHL2		3.3387997	
GRTP1		3.333534	
BHLHE41		3.3302379	
C2CD2		3.3301413	
TGIF1		3.3279853	
TMEM64		3.3249688	
FZD4		3.3201864	
DCN		3.3196824	
THBS2		3.3159711	
CLDN1		3.3136132	
CRYBG1		3.3115335	
PLS3		3.3113105	
RNF144B		3.3069224	
LARGE2		3.3000588	
ABCC9		3.296085	
ST14		3.2881682	
P2RY1		3.2766645	
P4HA2		3.275481	
ENOSF1		3.2700312	
PTPRJ		3.269382	
SHROOM2		3.264645	
SLC22A5		3.2640774	
CNN1		3.2620013	
PARD6G		3.258729	
CLDN7		3.2501552	
LRRC8E		3.2453744	
PRSS23		3.2391171	
APOD		3.21832	
GPC6		3.2170699	
CRB3		3.2165263	
AFAP1L2		3.215318	
KLF15		3.2062716	
AMOT		3.2055955	
RCN2		3.1963863	
ANXA1		3.1927834	
FPGT		3.177993	
COL14A1		3.1625128	
COL23A1		3.1619337	
SPINT1		3.161899	
AP1M2		3.156943	
GIPC2		3.1551344	
GULP1		3.1525903	
MAGEH1		3.1523457	
VILL		3.1499352	
FBLN1		3.149263	
ATP8B1		3.1403234	
WNT4		3.1353405	
CAV2		3.1202888	
LPCAT2		3.1154983	
TNFSF10		3.114323	
SLC35B2		3.1090984	
TMEM121		3.1063774	
S100A16		3.1018126	
TET2		3.0989718	
RNF149		3.0777154	
RAB38		3.070357	
PIEZO1		3.0684583	
KLHL14		3.0681655	
PLSCR4		3.0607762	
KCNJ8		3.06054	
TLR2		3.0571337	
LURAP1L		3.053347	
KRT8		3.0430481	
PTGIS		3.0428355	
PGM2		3.0413723	
UGDH		3.0337536	
GNGT2		3.031463	
CCDC198		3.0312164	
NPR3		3.02594	
CDH19		3.0238566	
LBH		3.0229542	
MAGT1		3.0218546	
JUNB		3.0197566	
PARP9		3.0185263	
TMBIM1		3.0152318	
MFHAS1		3.013374	
EDA		3.0126975	
DNASE2		3.010159	
ECSCR		3.01006	
VSTM4		3.0099416	
ZNF503		3.0065982	
C8H14orf119		3.0062425	
SULT1A1		3.0016654	
ZNF467		2.9938502	
HOXA3		2.9934287	
C1QB		2.9870174	
DEF8		2.9714208	
DENND2D		2.9664886	
PPT2		2.9639065	
PLXNB3		2.963812	
GJB1		2.9608436	
SAMD9L		2.9600701	
TMEM200A		2.957938	
MLLT3		2.9557588	
LMCD1		2.9552746	
FUCA2		2.9508545	
IFI44L		2.9506097	
LHX1		2.9475102	
CBS		2.9423726	
ITM2B		2.942104	
GPAM		2.938916	
HOXA1		2.9370265	
BTG2		2.9344866	
ACP3		2.9306624	
PLEKHA6		2.921182	
RGS2		2.9205885	
BCR		2.9187608	
IER3		2.9179938	
CNKSR1		2.9155543	
PRIMA1		2.9154415	
ITPR1		2.9119344	
BPHL		2.9102292	
PTPRF		2.9097557	
AXIN2		2.9096532	
CDC42BPG		2.9052687	
CLDN23		2.9042811	
SCNN1A		2.9024556	
TLR6		2.902439	
HSD17B11		2.8989198	
PLEK2		2.8980052	
MBD5		2.8978128	
GNAQ		2.896107	
TPBG		2.8924797	
MARVELD3		2.8912091	
CLN8		2.8852115	
PDXK		2.8823702	
MOCS1		2.8792176	
DHRS13		2.8788216	
TACSTD2		2.8747308	
BCAM		2.867909	
CDH3		2.867077	
SH3BP4		2.8666234	
PTGS1		2.8576834	
ITGB2		2.8569577	
PLA2G4A		2.8560293	
RNASE4		2.8549519	
LLGL2		2.854238	
EFS		2.850968	
SSBP2		2.8497646	
TEDC1		2.8484426	
SEMA5A		2.8465261	
M6PR		2.8412197	
HOXD3		2.8409402	
MTUS1		2.840874	
SPRY1		2.839422	
SELENOP		2.8200407	
MMP26		2.819097	
GOLIM4		2.8162613	
ATP8A1		2.8138678	
NOTCH3		2.8109057	
ADCY6		2.810083	
PADI2		2.809165	
LRRK1		2.8058176	
SELENOM		2.8050466	
HOXB3		2.8045256	
HIVEP2		2.801856	
IRS1		2.7991757	
ARL13B		2.7986362	
ADAMTS5		2.7982872	
GLB1		2.796367	
SERTM2		2.795875	
PPM1L		2.7952964	
PNP		2.7886968	
SNTB1		2.7733364	
CYBRD1		2.769804	
C1QA		2.7692113	
IRX2		2.768304	
COLCA2		2.7681139	
CANX		2.7676804	
BAALC		2.7664607	
TM7SF2		2.764707	
PCDH9		2.7630596	
GALNT18		2.751233	
RHOV		2.749223	
ALDH1A1		2.7488346	
ITGA2		2.7487452	
C7H1orf21		2.7454958	
EMB		2.7447524	
METTL9		2.738978	
MYOF		2.737549	
LY6E		2.7346127	
IQGAP1		2.7327373	
MRAP2		2.7302654	
TNFAIP8		2.7254884	
TMEM14A		2.7210665	
PAPSS1		2.716809	
IFI44		2.7165215	
ESR1		2.7125027	
PRSS8		2.7073185	
SFN		2.706964	
ZFP64		2.7048764	
FGL2		2.703859	
SLC35E1		2.7013807	
BMF		2.699999	
MPZL2		2.6996152	
TWSG1		2.6933022	
PLPP5		2.691099	
TOX3		2.6896727	
RIN2		2.6893768	
IRF6		2.6891744	
CTSS		2.6878517	
TPP1		2.6876042	
RUFY4		2.687006	
DTX3L		2.686643	
ANXA3		2.6856077	
RCN1		2.6764498	
COL17A1		2.6717346	
NGF		2.6714165	
CRACR2B		2.6713853	
METTL7A		2.6703932	
SCP2		2.6679134	
KLHL31		2.660609	
ERO1A		2.6597242	
FBXO32		2.6586158	
BICC1		2.6548135	
PLGRKT		2.6530066	
SARM1		2.6525896	
SERPINB1		2.6520047	
CEACAM28		2.6462457	
SLC66A3		2.6451628	
SPRY2		2.6441796	
REPS2		2.639668	
CFLAR		2.6357071	
CTSH		2.6348436	
NDRG1		2.6308076	
WASHC5		2.6208982	
CTDSP1		2.619959	
ID3		2.6189103	
ERBB3		2.6179502	
GGTA1		2.6171706	
FBP1		2.6168451	
TGFBI		2.6141925	
PLCB1		2.6128213	
HOXA4		2.610574	
SIGIRR		2.6026382	
BHLHE40		2.6000428	
TP63		2.5936825	
IL1R1		2.592524	
CHN2		2.5903642	
P2RX1		2.5875556	
KYAT1		2.5861998	
SPATS2L		2.5842195	
GALNT1		2.5838552	
MEI4		2.5833685	
DFFB		2.581555	
CAMK2N1		2.5815103	
ACTG2		2.580863	
CD4		2.5794053	
PANK1		2.5781653	
MET		2.577644	
METAP1		2.5760996	
RASSF4		2.5744007	
LEPROT		2.5624824	
ZBTB7B		2.5617492	
EMCN		2.5606139	
SREBF1		2.5589685	
SYNGR3		2.5582602	
MNDA		2.5556617	
CHST9		2.5544815	
PLCB4		2.5532808	
ABCA1		2.552041	
SLC8A1		2.5470731	
TMEM220		2.5452645	
CD83		2.5438852	
DAB2		2.5433724	
RNF152		2.5374086	
SYNE2		2.537401	
C15H1orf210		2.5340397	
COBLL1		2.5317428	
PKP2		2.5289614	
ABCC5		2.5281951	
IKZF2		2.5267618	
FLRT3		2.5252712	
ANOS1		2.5245042	
KLHL13		2.5226269	
TLR3		2.519863	
CCDC9B		2.5192792	
CLIC4		2.519093	
SATB1		2.517639	
EFNA4		2.5167215	
PELI2		2.5163243	
FZD2		2.515565	
MBTPS1		2.5148492	
TMCC3		2.5144753	
NIBAN1		2.5106094	
TRIAP1		2.5091677	
TPM1		2.5087583	
WWC1		2.507587	
ARHGEF28		2.5071464	
PXDC1		2.5044684	
PRUNE2		2.499881	
RIPPLY3		2.494131	
FAM114A1		2.4906049	
ETV6		2.4903257	
ARHGEF5		2.4855905	
NUPR1		2.4839022	
BRI3BP		2.4811444	
HOXB8		2.4792929	
CLIC1		2.4792323	
GNE		2.4765086	
FREM1		2.4754457	
GREB1L		2.473548	
LYN		2.4730325	
ATP1A1		2.4728167	
VSIR		2.4665873	
CCNQ		2.4651663	
ISLR		2.4634044	
SUMF1		2.4613	
CAPN5		2.4611862	
PKP3		2.4605396	
NCR3LG1		2.456843	
RHOB		2.456463	
ANXA2		2.4529924	
DERA		2.4501112	
HOXA9		2.4482749	
CASP10		2.441279	
PLXNB1		2.4340343	
CEACAM1		2.4283984	
ESRP2		2.4237814	
PARP15		2.4226117	
CSF1R		2.4192874	
S100A11		2.417658	
PGPEP1		2.417359	
RPS6KA5		2.4169297	
ARHGAP1		2.4160635	
ADGRF1		2.41283	
GSDMD		2.411621	
IDH3G		2.4097016	
MSN		2.4080865	
SYT16		2.3990922	
PCDH7		2.3967059	
SH2D3A		2.396688	
VLDLR		2.3962183	
STAT6		2.3888426	
ASPH		2.3878722	
HOXC4		2.3846183	
TXNDC5		2.372841	
APP		2.371674	
LGALS3		2.3699596	
CP		2.3698015	
HOXD1		2.3685775	
GRB7		2.3675454	
LMO7		2.3670094	
CD300LG		2.3667681	
CFD		2.3661585	
ADGRF5		2.35914	
NEIL1		2.3589036	
EPS8L1		2.3584461	
ARHGEF19		2.358416	
BCL7A		2.3572452	
ACO1		2.3560553	
LIMA1		2.3549716	
PECR		2.3548486	
IL1RN		2.352897	
STX3		2.3462405	
GSTO1		2.3462067	
SMOX		2.3461094	
PTPN13		2.34589	
CDO1		2.3449495	
DERPC		2.3448515	
CHMP4C		2.3428817	
PSMB8		2.3417785	
PRKCI		2.3408852	
TGFB2		2.3389773	
PDZD2		2.3368387	
DPYD		2.3354213	
CPT1A		2.3352432	
ABCD3		2.3342035	
FAM83B		2.326847	
ANO9		2.323387	
PIGA		2.323217	
SLIT3		2.3216085	
HPGD		2.3202724	
IFI35		2.3183377	
UHMK1		2.3113778	
ZC3H7A		2.3098848	
SLC25A30		2.308669	
FGFR2		2.3077703	
FMO5		2.305467	
EZR		2.302376	
C1H9orf64		2.3010957	
DNAH5		2.300779	
APCDD1		2.2939634	
CTSB		2.2936997	
PTGER4		2.2916884	
ZDHHC2		2.2908819	
KSR1		2.2874432	
MYO1B		2.284837	
SLC1A5		2.281034	
NNT		2.2802956	
EXT2		2.2795944	
CA12		2.279309	
KCTD11		2.277132	
ELF3		2.2759588	
STIM1		2.2738433	
TAP1		2.2723067	
ATP1B1		2.2706084	
ERBIN		2.2699442	
TMEM128		2.2676818	
AQP1		2.2633414	
CLEC14A		2.2631905	
DSG2		2.2600305	
SLC31A1		2.2589169	
CSF1		2.258836	
NYAP1		2.2571723	
SHROOM1		2.2560587	
CXHXorf38		2.254486	
FOXO4		2.2542882	
ZFP36		2.252601	
ST7		2.2517908	
LDHB		2.2493398	
SALL2		2.2492805	
ACSS3		2.2470639	
BST2		2.2459536	
STAG2		2.2428904	
RAP1A		2.2426367	
IFIT2		2.2420263	
SLC25A12		2.241719	
PGK1		2.2412004	
DEGS2		2.240624	
SNX12		2.240049	
HOXA6		2.2377675	
BPNT1		2.235739	
B3GALNT2		2.235199	
AGA		2.2338963	
TBC1D9		2.2318833	
TRIM56		2.231734	
TRPV4		2.2288055	
MARCHF9		2.2280068	
TMEM43		2.2279637	
LZTS3		2.2273924	
SORBS1		2.2266514	
TTC9		2.2248924	
DUSP28		2.2236464	
SLC25A17		2.2230463	
PDGFA		2.2217076	
STMN2		2.221281	
IFGGB2		2.2198095	
CD151		2.2193105	
TGM2		2.2188468	
PTN		2.2180738	
AGTR2		2.2178931	
TMTC4		2.2115571	
SLC9A1		2.2113826	
SLCO2A1		2.2103374	
TC2N		2.2097886	
OVCH2		2.2096553	
APOL6		2.2088845	
SLC44A1		2.2062075	
SLC35F3		2.2052827	
C1S		2.1992898	
PIK3R1		2.1985466	
CAP2		2.198033	
IGSF5		2.198008	
R3HDM4		2.1973023	
CCN4		2.196248	
NFKB1		2.1958618	
CHST3		2.195086	
TMEM68		2.1910224	
ALX1		2.1900778	
IRF1		2.1896706	
PRKX		2.1879616	
MCFD2		2.1854703	
SDR16C5		2.1854107	
PIR		2.1852114	
IGFBP6		2.1849492	
FMOD		2.184609	
CCL14		2.1834908	
TRIM7		2.1833174	
ANXA8L1		2.1831138	
PORCN		2.1825151	
RPS4X		2.1806688	
HACD4		2.1806042	
TPM3		2.1805072	
YIPF6		2.1799698	
RASSF3		2.1793723	
OLFML3		2.1767297	
VSIG10		2.1766615	
JUP		2.1750429	
CHRM1		2.1725028	
CREB3L2		2.1721585	
PRTG		2.1703928	
IPO8		2.1701303	
CASK		2.1690025	
RAI2		2.1685152	
SUN2		2.163946	
SHISA5		2.1624017	
TXNIP		2.1603453	
FLNB		2.1603434	
GALNT2		2.1587865	
AQP4		2.1584716	
ABI3		2.1576166	
ROS1		2.1573951	
ARHGAP6		2.1536584	
ZNF146		2.152807	
TRIM21		2.1524973	
RHPN2		2.149999	
COL8A2		2.1494493	
BCL2		2.1482844	
EIF2AK3		2.1477833	
ARSK		2.1475003	
CEPT1		2.1440663	
SERPINB13		2.1427937	
TRIM29		2.1408052	
BHMT2		2.1361737	
RAVER2		2.134555	
GPD1L		2.1335895	
MMGT1		2.1321468	
KCNMB1		2.1310556	
SLC16A13		2.1284673	
TM7SF3		2.1274312	
IVD		2.1259596	
TAGLN		2.1248121	
POGLUT3		2.1239705	
ADH5		2.1236885	
P3H2		2.123511	
RHEB		2.1234388	
WSB1		2.1219125	
NTRK2		2.1208124	
SEMA3C		2.1195464	
PEX7		2.1195354	
TICAM1		2.118896	
CMTM8		2.117435	
IL33		2.1172082	
RESF1		2.116683	
GDA		2.1159685	
ZNF395		2.114686	
ARRDC2		2.1107252	
TSC22D3		2.110528	
MYLIP		2.108038	
MAP3K1		2.1074872	
TINAGL1		2.103551	
MAPK14		2.1023812	
RFLNB		2.1016798	
GPM6A		2.0998151	
AR		2.099315	
TGFBR2		2.098216	
S100A14		2.097976	
CARD10		2.0973105	
ENTPD7		2.097273	
PDGFB		2.0968657	
SDF2		2.0960693	
PGM5		2.0955908	
ALDH6A1		2.095338	
FAM120C		2.0940554	
FAM131B		2.0939543	
GPR39		2.0916567	
GPX8		2.0913203	
DHRSX		2.0872326	
C1R		2.0871363	
IFI30		2.0861187	
ADH4		2.0857794	
CYP7B1		2.0853958	
B3GALT2		2.0847142	
ZNF268		2.0839324	
ADRA2A		2.0834358	
HACD2		2.0815978	
PPP3CA		2.0814586	
FKBP5		2.0794997	
PLAC9		2.0788248	
TJP1		2.0754657	
TPMT		2.0724976	
RAPGEF3		2.0714035	
MYH11		2.0708115	
GALNT11		2.0696435	
SLC30A7		2.0687447	
PPP1R3B		2.0677116	
IRF3		2.066569	
PPIB		2.0660036	
SSPN		2.0647452	
PRXL2C		2.0645003	
CNIH1		2.0600564	
FAM219B		2.059231	
FBXO21		2.0585546	
SCG5		2.0580146	
H2BC21		2.0559783	
NCOA1		2.053944	
IRF2		2.0524218	
TMEM63B		2.0484176	
ERAP1		2.047864	
MID1		2.0473998	
PLVAP		2.0453022	
CTNNB1		2.0445836	
TMED2		2.0440807	
ADAM28		2.0437226	
CASP6		2.0430331	
ZNF180		2.0430322	
MORC4		2.040583	
C10H12orf66		2.03956	
CES2		2.0385494	
IL15		2.036173	
PCYOX1		2.0358944	
MSRB1		2.034481	
RBBP7		2.0336716	
FOSL2		2.0335555	
WDR72		2.0334764	
SLC8A3		2.0328805	
COTL1		2.0328417	
RND3		2.0326474	
ZBTB14		2.0311031	
TMEM50A		2.0279064	
RHOBTB2		2.0267718	
RAB7B		2.0263386	
ACADL		2.0260208	
CTSV		2.024019	
SLC39A1		2.022058	
MYO1E		2.0218759	
OAS1		2.020977	
GMDS		2.0202098	
MFSD12		2.0196123	
FURIN		2.0181594	
ZFP69		2.0168774	
AHCYL1		2.0153599	
NCOA7		2.0147543	
IL27		2.0139105	
AGL		2.0126338	
ITGAM		2.0122628	
ARL6IP5		2.011752	
DCLRE1A		2.0098035	
ST6GALNAC6		2.007861	
SC5D		2.006985	
TBXAS1		2.0064878	
RSPH4A		2.0056696	
KIF16B		2.0049927	
TM9SF1		2.0033376	
AMIGO2		2.002283	
FNDC4		2.0012455	
FAM110A		2.0002484	
STARD7		1.9981108	
RHOD		1.9975305	
ARHGDIB		1.9953008	
ZNF365		1.9937557	
REX1BD		1.9937121	
VWA5A		1.9928677	
SLC39A7		1.9927629	
WNT10A		1.9903316	
ARHGAP42		1.9899256	
TET1		1.9887933	
B3GNT2		1.9877491	
MUTYH		1.9874068	
TNS3		1.982767	
UTRN		1.9810656	
CHD2		1.9808056	
TBC1D30		1.980596	
BDH2		1.9803783	
MIR568		1.9755243	
TVP23B		1.9745818	
SVEP1		1.9743706	
CTNNA1		1.9741031	
MOSPD2		1.9729913	
LRATD2		1.9722278	
ZC3H7B		1.971974	
ALG11		1.9717532	
SLC12A8		1.9710647	
TMEM87A		1.9699572	
SLC35G1		1.9695866	
FAM111B		1.9686903	
PTGFRN		1.9679112	
GDPD3		1.967557	
IDS		1.9670229	
ZFP36L1		1.9660712	
HSD17B14		1.9637749	
PGRMC1		1.9629893	
SHMT1		1.9628828	
PRRG2		1.9614311	
NIBAN2		1.9609569	
ABCB10		1.960541	
MX2		1.9602236	
GNAS		1.9600624	
FRMD4B		1.9600036	
CSPG4B		1.9597276	
GNPTAB		1.9584053	
GREM2		1.9577076	
ADGRA2		1.9576364	
ITPR2		1.9557611	
AIG1		1.9547653	
FOXI1		1.9541553	
A4GALT		1.9507478	
ARHGEF40		1.950596	
DOK1		1.9503726	
EPS8L2		1.9502038	
SYNPO2		1.9495381	
AKAP13		1.9486611	
MIR8854		1.9470257	
PFKFB4		1.9469794	
CD74		1.9466386	
HCLS1		1.9464927	
DLK2		1.9463123	
SHROOM3		1.9448825	
CLCN4		1.944317	
APH1A		1.9432145	
EVC		1.9416891	
MOXD1		1.941664	
SKAP2		1.9409574	
FGFRL1		1.9402103	
STEAP2		1.9391876	
FUT1		1.9390515	
SLC35A1		1.93811	
GPAT3		1.9377297	
SP110		1.9372582	
ZZZ3		1.9370375	
ANKRD13C		1.9363079	
FLVCR1		1.9347335	
PRG4		1.934658	
C12H6orf47		1.9343841	
CTNNAL1		1.9339553	
CUEDC1		1.9335228	
YIPF1		1.933072	
TRIM34		1.9306402	
KLF6		1.9294819	
NADSYN1		1.9234239	
DTNB		1.9223934	
HELZ2		1.9197603	
MBOAT1		1.9188597	
MYO5B		1.9186791	
XKR4		1.9185051	
CSTB		1.9171174	
F11R		1.9171125	
RPUSD3		1.9170076	
ZFYVE21		1.9166932	
PTK2B		1.9165105	
MTPN		1.9147367	
TP53		1.9141454	
PPP1R12A		1.9137316	
SVOPL		1.9122715	
ABHD14A		1.9119327	
TACC1		1.9094738	
XIAP		1.9081612	
BMPR1B		1.9071641	
HM13		1.9060732	
TGDS		1.9036375	
CCDC22		1.9024614	
LSP1		1.9018183	
CHM		1.9006945	
MGAT4B		1.9004171	
PARVA		1.8995558	
GAS1		1.8987389	
HSPB8		1.8970544	
NFKBIZ		1.8959999	
REEP5		1.8953187	
DIO1		1.8944032	
TFPI2		1.8943774	
HIF1A		1.8933928	
MIGA2		1.8930724	
SERPING1		1.8929726	
CTSK		1.8929594	
DOP1B		1.8928862	
RNASEL		1.8922879	
ANKRA2		1.8910527	
RNF135		1.8896621	
RORC		1.8890879	
AHDC1		1.8884689	
UNC93B1		1.88835	
SBSPON		1.8850893	
TNFRSF19		1.8826278	
DMKN		1.8825583	
STX7		1.8823785	
HS6ST1		1.8822738	
INVS		1.8820509	
DLL4		1.8810339	
SLC39A9		1.8805187	
COL25A1		1.8804642	
ASIC4		1.8793645	
HKDC1		1.8785528	
ATXN7		1.8754473	
IGSF6		1.8745958	
TMEM158		1.874456	
SLC44A2		1.8744494	
ZNF703		1.8741698	
MTHFD1		1.8741349	
BMP7		1.8734255	
PHETA2		1.872394	
NEURL1B		1.872371	
RAB9A		1.8720162	
EPCAM		1.8718785	
ATG12		1.8702427	
ACCS		1.8690627	
ADGRE5		1.8672264	
PLPP3		1.8646891	
TIMP3		1.8645109	
JADE3		1.8643799	
DBT		1.8633693	
RAB19		1.86317	
BTBD3		1.8628513	
ERAP2		1.8616709	
PLK2		1.8612062	
TPST2		1.8611755	
RBP4		1.8608427	
ITFG1		1.8599248	
PRPS1		1.8598442	
AKT1		1.8597417	
ARHGEF12		1.8582178	
BZW2		1.8558146	
MACC1		1.8553312	
PXMP2		1.8550315	
CDNF		1.8538864	
MPEG1		1.8538703	
MTMR4		1.8527504	
MCOLN2		1.8527	
FMNL3		1.8517866	
DUS4L		1.8516263	
SESN3		1.8506224	
C3AR1		1.850562	
FAM3C		1.8500652	
COR52H8		1.8495103	
THOC2		1.8478532	
DHFR		1.8473601	
LITAF		1.8471651	
NKAIN3		1.8456022	
NAPRT		1.8447865	
TRIL		1.8436843	
IL17RE		1.843643	
SERINC1		1.8420907	
MAGED2		1.8416487	
TK2		1.8412659	
LRP5		1.840242	
EGF		1.8398818	
GGT6		1.8393797	
HTR7		1.8390055	
NIPSNAP2		1.838891	
E2F5		1.8380014	
BNIP3L		1.8377923	
PPP1R21		1.83728	
NBEAL2		1.8359141	
PCP4		1.8349898	
STARD3NL		1.8348036	
HOXD9		1.8311669	
PNPO		1.8304931	
NRBP2		1.8296322	
NAPEPLD		1.8292211	
KRT7		1.8291632	
EFNA1		1.8282359	
ARHGEF25		1.8281295	
MON2		1.8254616	
WWTR1		1.8247465	
F3		1.8245957	
PKN2		1.8241158	
CSRP1		1.8240825	
CAT		1.8235837	
FGF10		1.8234334	
DAGLA		1.8231506	
TLCD5		1.8225453	
DLL1		1.8219984	
HNMT		1.8215566	
MCEE		1.8211036	
TAGAP		1.8207453	
UPP1		1.8205382	
NEGR1		1.8134617	
USH1C		1.8125849	
ASH1L		1.8105905	
CYP2J2		1.809631	
RETSAT		1.8089228	
SDHD		1.8088083	
GLRX		1.8087412	
ITPKC		1.8084841	
GALNT13		1.8076335	
KDM6A		1.8068298	
KCNG2		1.8065263	
MAN2B1		1.8045328	
PPP1CB		1.8037418	
TPT1		1.8035483	
ZDHHC21		1.8034774	
RALBP1		1.8031934	
PLXNA4		1.8025794	
HNF1B		1.802283	
SPON1		1.7996219	
DDX60		1.7995981	
CMTM4		1.7993276	
GPR34		1.7992662	
CDC25B		1.7990426	
GCSH		1.7990395	
TAF13		1.7984113	
HRC		1.7977574	
CRYL1		1.7969635	
PTGER1		1.7953944	
SMAGP		1.794674	
OAS3		1.7934628	
SEC11A		1.7934363	
CORO1A		1.7933537	
MATN4		1.7906896	
EHHADH		1.7906024	
PXN		1.7891175	
TMEM123		1.789054	
VAV3		1.7883596	
PLEKHA1		1.7881101	
PPP1R16B		1.7873893	
ADGRL3		1.7866645	
MANSC1		1.7866073	
STT3A		1.785569	
CLDN3		1.7852671	
RIT1		1.7851671	
GUCD1		1.7844592	
LRP12		1.7838535	
ANKS4B		1.783597	
SH3RF1		1.7834187	
TRIM6		1.7824119	
METTL15		1.7802087	
LOX		1.7787045	
ATP6V0D2		1.77866	
TAOK3		1.7762988	
ECI2		1.7760773	
TENM1		1.7748455	
RMDN3		1.7748274	
P3H3		1.771876	
UBA7		1.7710252	
ITGB1		1.7702484	
F2RL1		1.769754	
MERTK		1.7694024	
KITLG		1.7692878	
TMEM102		1.76767	
PSMC6		1.7669728	
P2RY14		1.7668711	
SSR4		1.7659621	
CAPZA2		1.7650137	
TMEM154		1.7647561	
ATP2B3		1.764493	
SLCO2B1		1.7639662	
APIP		1.763733	
