"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-GJB4|GJB4",17.9400608758092,21.9332211022796,3.0047994565147,7.29939598954808,2.8906241774764e-13,2.02078917189973e-10
"gene-LOC486523|LOC486523",17.7048544831199,21.9122127327515,3.00482169881152,7.2923504051566,3.04593697315109e-13,2.02078917189973e-10
"gene-KRT6A|KRT6A",17.6023804381798,21.9018553385581,3.0048312444224,7.28888032538019,3.12541514409331e-13,2.02078917189973e-10
"gene-GPX6|GPX6",16.7656224290545,21.8371700332815,3.0049135600145,7.26715414508499,3.67139785446517e-13,2.2814678167289e-10
"gene-KLHDC7A|KLHDC7A",670.732297607433,8.27414224884077,1.4241922593678,5.80970876257511,6.25816128826459e-09,3.78381962648019e-06
"gene-HOXB6|HOXB6",457.889930712117,8.57262481008956,1.54195383090158,5.5595859216337,2.70415446127028e-08,1.55114460136096e-05
"gene-EHF|EHF",732.895220171743,7.2290210130388,1.29928549989961,5.56384336898809,2.63896832138945e-08,1.55114460136096e-05
"gene-GATA3|GATA3",584.95028792498,7.25035993986851,1.31288333000894,5.52247086557124,3.34265239216693e-08,1.86946191662916e-05
"gene-CLDN4|CLDN4",617.154433605637,7.19199633644646,1.32923719411708,5.41061923957343,6.28071863968188e-08,3.42697455337374e-05
"gene-RSPO3|RSPO3",458.842350940189,6.4708187099861,1.2353585992797,5.23800839186213,1.62318683700091e-07,8.64578874536843e-05
"gene-PDZK1IP1|PDZK1IP1",563.23671122301,6.26725904394625,1.20094317400592,5.21861415227574,1.80266861836198e-07,9.37848829334323e-05
"gene-MCOLN3|MCOLN3",347.342360168622,6.12121066154016,1.18337699646475,5.17266321707014,2.30780755525107e-07,0.000117336279133004
"gene-EXPH5|EXPH5",432.993942729859,6.34961885994197,1.24469878493523,5.10132968457296,3.37275452692955e-07,0.000167670870048758
"gene-AQP9|AQP9",883.244916705168,7.29651477900993,1.43385660740317,5.0887339370877,3.60461921613525e-07,0.000175302035835134
"gene-VWA2|VWA2",1145.31564565815,6.31698810383324,1.24637081086289,5.06830555463655,4.01372720686021e-07,0.000191044875201425
"gene-GATA2|GATA2",332.887456411285,5.87195779043478,1.19076254915141,4.9312583727288,8.1701584052823e-07,0.000380780445176188
"gene-TSPAN15|TSPAN15",642.345933084251,5.77722114883508,1.1771918027637,4.90762944090494,9.21838145044623e-07,0.000420866145771291
"gene-TMPRSS2|TMPRSS2",329.106711957525,5.73438237654269,1.18181103265629,4.85219905559169,1.22099979443627e-06,0.000546299728026678
"gene-ST6GAL1|ST6GAL1",1723.742037367,5.56259759265246,1.14839319792593,4.84380924817288,1.27373222469553e-06,0.000558718894091447
"gene-ELOVL7|ELOVL7",434.858563057449,5.96563606893437,1.23324710909984,4.83734040397527,1.31587964350583e-06,0.000561672866652385
"gene-LOC111095843|LOC111095843",505.643439525431,8.50250562691434,1.75902113669444,4.83365745274233,1.34047164649041e-06,0.000561672866652385
"gene-ATP6V1C2|ATP6V1C2",985.070882578904,5.84464388927447,1.20972147275372,4.8313963345382,1.35578806487098e-06,0.000561672866652385
"gene-CHTF8|CHTF8",59.7520145906631,-9.35450152528589,1.9387103290842,-4.82511563741692,1.39922060469064e-06,0.000569126620864259
"gene-KRT19|KRT19",583.716337310697,5.44947324311002,1.14423730251305,4.76253765817766,1.91173506951226e-06,0.000763704022143906
"gene-PROKR1|PROKR1",429.090478462727,6.63968694058839,1.39934047024386,4.74486880196592,2.08641520052124e-06,0.000818863060541414
"gene-CDH1|CDH1",1923.49307149939,5.60172836063159,1.18807494039922,4.71496213761505,2.41755700120313e-06,0.000932468408170954
"gene-KRT18|KRT18",2776.34796192,8.67223462747576,1.86905505402961,4.63990325420258,3.4857232406199e-06,0.0013216799087442
"gene-LRP2|LRP2",1239.31669631281,4.83957122934153,1.04934762002905,4.61198094603537,3.98849563177726e-06,0.00148711059630815
"gene-HOXA5|HOXA5",327.188386494248,6.21838023331993,1.36293463445778,4.56249336989944,5.05496904027371e-06,0.00185384774426169
"gene-PKHD1|PKHD1",779.912056306982,5.33436363775127,1.17858359208481,4.52608001127458,6.00878379258502e-06,0.00216810487457935
"gene-SGPP2|SGPP2",336.224500296763,5.26669982157852,1.16558042720205,4.51852115792739,6.22730514404042e-06,0.00221128640281473
"gene-OLFM4|OLFM4",241.601246347484,5.94433627784358,1.32383792745896,4.49022962293687,7.11464336667538e-06,0.00244864133470608
"gene-EMX2|EMX2",529.416064207263,5.51748253902278,1.22837929059708,4.49167661914983,7.06646641429111e-06,0.00244864133470608
"gene-PROM2|PROM2",1496.27089385309,8.86273647268741,1.97965264000693,4.4769149362771,7.57294052766983e-06,0.00253687218709717
"gene-MAL|MAL",3912.29483869322,11.5568230312779,2.58182937745461,4.47621486229724,7.59780235731575e-06,0.00253687218709717
"gene-PYGL|PYGL",1085.69651204284,4.56269951389193,1.02628249989896,4.44585142428245,8.75444401028058e-06,0.00288008333755863
"gene-SLC2A4|SLC2A4",130.58319648715,4.98865397554699,1.12409820122227,4.43791651843466,9.08338330647225e-06,0.00290291954212987
"gene-LOC481634|LOC481634",122.124659769313,4.02962470315674,0.907677339227225,4.43949025607213,9.01721969037084e-06,0.00290291954212987
"gene-SFRP1|SFRP1",188.469668828924,5.66188653127959,1.28162232326256,4.41774961976817,9.97338574932821e-06,0.00314245933236932
"gene-RIPK4|RIPK4",226.395176271933,4.72405108749917,1.07106183475134,4.41062405010062,1.03073137092359e-05,0.00320256826374051
"gene-ITGB4|ITGB4",876.561019536846,5.29616754186093,1.20202884869314,4.40602365543805,1.05285470445988e-05,0.00322649487581807
"gene-BASP1|BASP1",662.649230043455,5.31834655266561,1.20953323209727,4.39702391925509,1.0974525502211e-05,0.00331771770283734
"gene-CYS1|CYS1",454.303795075031,5.0243570481555,1.14395115386579,4.39210802941764,1.12256893170855e-05,0.00334839860950027
"gene-POU3F3|POU3F3",103.824563897701,9.23848083655102,2.10626447232346,4.38619221752332,1.15352193683931e-05,0.0033954525327674
"gene-PLLP|PLLP",529.453495147905,4.66683616191866,1.06567930791246,4.37921251474841,1.19108936452233e-05,0.00346050132126351
"gene-LOC612254|LOC612254",73.4546184963463,7.87999006299349,1.80098075353214,4.3753882697186,1.21216519453645e-05,0.00347658302140704
"gene-LOC102156217|LOC102156217",295.853020623182,4.42650779215493,1.01263782604517,4.37126451165915,1.23529032658965e-05,0.00349806074634646
"gene-SORBS2|SORBS2",1598.94023329122,4.5218523575278,1.03625409275143,4.36365210922499,1.27908930632346e-05,0.00357681335897026
"gene-SCML4|SCML4",299.374525493075,4.22504863682736,0.978346967227544,4.31855852612328,1.57051577433984e-05,0.00433753189972302
"gene-PITPNC1|PITPNC1",754.85641053165,4.71211542562892,1.09454883554417,4.30507554584005,1.66928760534316e-05,0.00455410158769901
"gene-PECAM1|PECAM1",1087.53795952641,4.85792629940418,1.13155407452282,4.29314551445788,1.76159469737351e-05,0.00462595652727776
"gene-RASSF6|RASSF6",158.860723299854,5.71112918979392,1.33068377184647,4.29187558353486,1.77170216363258e-05,0.00462595652727776
"gene-XDH|XDH",438.960570121838,5.27017502596327,1.22601358628609,4.29862693604236,1.71859465013193e-05,0.00462595652727776
"gene-EDDM3B|EDDM3B",1130.99561032939,12.8868679456477,3.00320006734446,4.29104543709028,1.778339195145e-05,0.00462595652727776
"gene-ACOX2|ACOX2",336.305452252104,5.82287634906083,1.35839584390534,4.28658286550719,1.81442538793869e-05,0.00466557590270994
"gene-BCHE|BCHE",427.930860498201,5.6096828739561,1.31358679668309,4.27050796195651,1.95028257971868e-05,0.00490676180175587
"gene-TFAP2A|TFAP2A",198.821644568189,4.69675161865238,1.09986416855915,4.27030150896293,1.95208886664106e-05,0.00490676180175587
"gene-SIM1|SIM1",89.0469346907096,5.77129456537293,1.35584433395856,4.25660558577762,2.07554038247069e-05,0.00515910154402797
"gene-CAPG|CAPG",605.467084827795,4.85332595413396,1.14311945020879,4.24568574460658,2.17925889559815e-05,0.0053573846981787
"gene-LGALS9|LGALS9",545.864516597926,4.76217143947895,1.13196128859241,4.20700909781174,2.58772727609617e-05,0.00629239640147254
"gene-LOC111094235|LOC111094235",158.932393562201,7.36953376919526,1.76660337216119,4.17158366463418,3.0248995104549e-05,0.00727634698369749
"gene-CAPS|CAPS",180.276377664728,4.34268903111864,1.04184633581589,4.16826251802078,3.06930319445997e-05,0.0073046150811983
"gene-IGSF10|IGSF10",147.472422245833,4.72434076719022,1.13899755201498,4.14780590075237,3.35676795634894e-05,0.00790465852120864
"gene-LOC492182|LOC492182",153.453695129514,8.38142416858111,2.028055229538,4.13273960516866,3.58464762269314e-05,0.00835334916325712
"gene-PAX2|PAX2",347.23693904706,4.60528365411599,1.11596863490114,4.12671423737994,3.67983189271968e-05,0.008486754564127
"gene-ATP6V0A4|ATP6V0A4",314.178528746417,4.37632020038998,1.067634073518,4.09908254985662,4.14791084737123e-05,0.00946866464964712
"gene-MOB3B|MOB3B",400.884864520753,4.0561232238326,0.990156119468689,4.09644817022298,4.19537363220931e-05,0.00948027308344994
"gene-PRR15|PRR15",178.426088965039,6.52801082840391,1.60009065976848,4.07977559805795,4.50791964108593e-05,0.0100846670290733
"gene-LOC102152224|LOC102152224",35.4624682844261,5.77256259375936,1.41780767978381,4.0714708179882,4.67172157317679e-05,0.0103476320112414
"gene-SSPO|SSPO",214.324017798979,5.49749917465994,1.35308487970819,4.06293740851318,4.84590268053368e-05,0.0106282047908058
"gene-FBP2|FBP2",245.214609832128,4.58455742380452,1.13023166434979,4.05629887076467,4.98564561314196e-05,0.0108285318457863
"gene-CLDN8|CLDN8",688.093072802967,10.9732960789621,2.71291641357969,4.04483382681254,5.23602501412092e-05,0.0112629918837403
"gene-SLC44A3|SLC44A3",91.4382943746137,4.14785933659897,1.02737399045508,4.03734119720285,5.40604154125729e-05,0.011517957649473
"gene-SLC27A6|SLC27A6",631.933433289874,5.89110100751657,1.46241971074815,4.02832440250876,5.61757951745148e-05,0.0118557425834818
"gene-SCIN|SCIN",546.010755021965,6.78065985564097,1.69211986336247,4.00719830932479,6.14432709130973e-05,0.0128462375102514
"gene-ALCAM|ALCAM",614.97918450474,4.3780870871815,1.09331498010608,4.00441516566132,6.21710964376798e-05,0.012878051837105
"gene-HOXB4|HOXB4",38.2075799534331,8.72869569494671,2.18211000271048,4.000117172876,6.33111284699447e-05,0.0129938830734049
"gene-PRR15L|PRR15L",81.4417256987969,4.82417219180364,1.20930098382872,3.98922373860147,6.62898735673377e-05,0.0134815523779537
"gene-FCGRT|FCGRT",1155.67898071729,4.33594575697967,1.09191537411899,3.97095403155956,7.1585392015732e-05,0.0141708156267026
"gene-ARHGEF37|ARHGEF37",254.742794501682,4.21718564038465,1.0625645534652,3.96887476307363,7.22128193395066e-05,0.0141708156267026
"gene-NPC1L1|NPC1L1",182.13821316209,3.56780222410797,0.898697929733924,3.96996822409982,7.18822176278681e-05,0.0141708156267026
"gene-MYO5C|MYO5C",443.711739063399,4.07990691994033,1.02653686385067,3.97443780502542,7.05456932658186e-05,0.0141708156267026
"gene-ARHGAP31|ARHGAP31",1469.90839533154,4.21985241947625,1.06409203285747,3.96568369010752,7.3185864448092e-05,0.0142368780310284
"gene-LOC111097584|LOC111097584",34.5384026641348,3.78920966747591,0.961472025285953,3.9410503559362,8.11255917094236e-05,0.015645350104582
"gene-ARL4C|ARL4C",240.88045657088,3.9561305288747,1.00491433287297,3.93678386252533,8.25809224869142e-05,0.0156560831945318
"gene-GPX5|GPX5",756.296988799083,9.57274329415842,2.43128348742929,3.93732090217095,8.23963863534468e-05,0.0156560831945318
"gene-LAD1|LAD1",220.46508024404,5.33647842515878,1.35816260997396,3.92918961689065,8.5232612436793e-05,0.0160230148976764
"gene-GYG2|GYG2",214.931908518407,3.92500127071961,1.00099964212698,3.92108159237654,8.81524059026356e-05,0.0164338122703989
"gene-TRIM22|TRIM22",460.521937374965,7.93010750712372,2.02639575635638,3.91340510966262,9.10036712412449e-05,0.0167144446745117
"gene-SLC6A8|SLC6A8",367.503654459229,4.43420443253532,1.13319472017293,3.91301190660212,9.11520383662074e-05,0.0167144446745117
"gene-LMO4|LMO4",1832.06201442406,4.0603178510502,1.03950337713866,3.90601698883043,9.38299179782931e-05,0.0170656023991252
"gene-NEDD9|NEDD9",2190.06878140424,3.69707016204463,0.947371424021513,3.90245057883515,9.52236851010923e-05,0.0171794278983592
"gene-RAB27B|RAB27B",135.169786511603,4.97763960706666,1.27692238656761,3.89815360700711,9.6928927381999e-05,0.0173471762757016
"gene-LOC100684547|LOC100684547",40.9877275797911,-8.81018781725257,2.2620725050055,-3.89474156896272,9.83034805130646e-05,0.0174535489091886
"gene-TBX3|TBX3",470.220913313736,7.38080625005129,1.90000999731089,3.88461442860692,0.000102492412567569,0.0180539981224337
"gene-SCN7A|SCN7A",91.776747688757,3.62949693987694,0.935160154070524,3.88115011538785,0.000103963641418068,0.0181700829856531
"gene-ADGRG6|ADGRG6",548.775948398724,4.43303835497766,1.14390838733641,3.87534386848933,0.000106474232392322,0.0184646128127801
"gene-ESRP1|ESRP1",356.007624802618,4.35758847679612,1.12683522098259,3.8671035442044,0.000110135673089996,0.0189526549438177
"gene-SGCD|SGCD",304.145885699453,4.02511915537187,1.04456082860591,3.8534080975867,0.000116484997907594,0.0198922586884793
"gene-TMEM238|TMEM238",49.8006660704226,4.04784490300517,1.05146114148852,3.84973323624188,0.000118246538587566,0.020030172929994
"gene-SERPINA1|SERPINA1",75.454971941991,5.02582787063827,1.30608641637039,3.84800562018326,0.000119083322144258,0.020030172929994
"gene-TBX2|TBX2",533.416286683742,4.53666910847733,1.18005636317352,3.84445120593807,0.000120822521670586,0.0201710494947216
"gene-MALL|MALL",95.15078222239,4.14026766829903,1.08237288472043,3.82517681914071,0.000130678260609571,0.0216548397636794
"gene-TLR1|TLR1",23.7262867950862,4.63026044175028,1.21633983287137,3.80671611388389,0.000140824236897275,0.0225027071687781
"gene-TLR4|TLR4",147.397829510741,3.48326914033186,0.913832837766552,3.81171369245728,0.000138006673673841,0.0225027071687781
"gene-MAL2|MAL2",241.44030867998,3.86122620862504,1.01281817522932,3.81235872643259,0.000137646906486589,0.0225027071687781
"gene-LOC119864667|LOC119864667",1257.24030420146,3.28435244482836,0.862678149300647,3.80715849531011,0.000140572659500969,0.0225027071687781
"gene-LOC111093600|LOC111093600",45.0348004279777,-5.64960000122017,1.48406840269085,-3.80683261699836,0.000140757941769593,0.0225027071687781
"gene-TXNDC16|TXNDC16",723.448605111696,3.1763970843788,0.83490994644534,3.80447867210402,0.000142103154542482,0.0225460260302828
"gene-LOC119870136|LOC119870136",26.2972251203896,-2.64984596114065,0.697359734933268,-3.79982644308281,0.000144797460091224,0.0226015739082719
"gene-RARRES1|RARRES1",245.209586004466,3.77526589607391,0.993602126967975,3.79957509510805,0.000144944387599922,0.0226015739082719
"gene-BLNK|BLNK",218.124976941776,5.13113850989354,1.35077816476777,3.79865372696168,0.000145484182324937,0.0226015739082719
"gene-TNC|TNC",368.730929864915,4.41377244512886,1.16331130079505,3.79414559294001,0.000148152727433162,0.0227008538726525
"gene-PLS1|PLS1",220.332159714291,4.66223002371799,1.22837312685886,3.79545100896177,0.000147375296455846,0.0227008538726525
"gene-TRIM16|TRIM16",101.353937953238,4.08302580736273,1.07750873303509,3.78932038523883,0.000151059987715984,0.0229713473153259
"gene-MX1|MX1",480.611313204208,3.62619557922687,0.957329184138671,3.78782516955171,0.000151971722438346,0.0229713473153259
"gene-NAALADL2|NAALADL2",167.574587579849,3.73163512258012,0.990087603002875,3.76899489627211,0.000163906238715826,0.024609036686656
"gene-MTURN|MTURN",589.30726581094,3.2406518582437,0.860511899373013,3.76595821696935,0.000165911538919733,0.024744046914489
"gene-TMEM30B|TMEM30B",159.752549596461,4.12946242341334,1.09714796727264,3.76381540739544,0.000167340428957506,0.0247918724252209
"gene-CTHRC1|CTHRC1",116.377960410082,4.1647900217538,1.11300263468814,3.74194084717578,0.000182604503176913,0.0265262684452645
"gene-SH3YL1|SH3YL1",286.341481853544,3.44828576875717,0.920877335722977,3.74456579067606,0.000180706021727794,0.0265262684452645
"gene-MID2|MID2",388.154544612977,3.16116807612824,0.844503676999017,3.74322594705756,0.000181672728239092,0.0265262684452645
"gene-RERG|RERG",915.967726469407,3.5866380235581,0.959450113178917,3.73822252381064,0.000185325882238837,0.0267479052359034
"gene-HOXB7|HOXB7",385.116441964567,6.91211620379111,1.84985202719076,3.73657790038918,0.000186541675374073,0.0267507937166242
"gene-HEXB|HEXB",1971.42055988332,3.67003986164248,0.983994935639291,3.72973450240178,0.000191681638716362,0.0273128021638454
"gene-HOXB2|HOXB2",120.078973119532,6.52974868771877,1.75313828132093,3.72460561570694,0.000195620802050453,0.0276976769789283
"gene-LOC100684160|LOC100684160",43.2949851252949,7.09396522747617,1.90565342933908,3.72258938496309,0.000197190066071678,0.0277442702395567
"gene-TMC4|TMC4",265.189022408069,3.6373575557463,0.97937240301881,3.71396778644624,0.000204034777765894,0.0281776453659138
"gene-KCNK1|KCNK1",307.111158234309,3.6681452560803,0.987022777507426,3.71637346135379,0.000202102786679392,0.0281776453659138
"gene-LOC102154267|LOC102154267",193.585814213379,3.96714798820375,1.06817478005226,3.71395024699015,0.000204048927150241,0.0281776453659138
"gene-ARSD|ARSD",241.956409831425,3.57436756333511,0.96329360544899,3.71056917965224,0.000206793774229549,0.0283814940079095
"gene-CYBA|CYBA",3049.06191496005,3.69690675090849,0.999098941346329,3.70024088497857,0.000215394911754972,0.0293817047004297
"gene-FRAS1|FRAS1",1255.28552283896,3.5122847230374,0.952164500112601,3.68873731652676,0.000225369753528912,0.0305560409466381
"gene-ATP11A|ATP11A",1254.36021964563,3.19385061920513,0.866449138520476,3.68613745136715,0.000227683411538351,0.0306837686718341
"gene-RTP4|RTP4",114.024960208101,4.21951224452898,1.14600324850274,3.68193742037101,0.000231468234672949,0.0310070411848416
"gene-EMP2|EMP2",318.422396048732,3.81719013032138,1.03759317728474,3.67888900379099,0.000234252183551848,0.0311931880847524
"gene-EVA1A|EVA1A",150.102082548255,5.60883513501166,1.5254118364619,3.676931698669,0.000236056212087543,0.0312474172817185
"gene-TMEM54|TMEM54",95.2819283952424,5.378900525894,1.46536146960146,3.67069875759523,0.000241888289649614,0.0316632725476925
"gene-ERBB2|ERBB2",668.783533877543,4.20398040943105,1.14603529064155,3.66828180926056,0.000244185954250077,0.0316632725476925
"gene-RNF183|RNF183",64.0212400492199,3.6283493636669,0.98930404553416,3.66757760674862,0.000244859244144241,0.0316632725476925
"gene-C12H6orf141|C12H6orf141",176.974672226159,4.08400534424192,1.11299415516851,3.66938615560259,0.00024313358212959,0.0316632725476925
"gene-RIPPLY1|RIPPLY1",79.8324939580288,7.32066913596684,2.00179026357467,3.6570610164194,0.000255123666724421,0.0328009859097243
"gene-PLXDC2|PLXDC2",1998.54067265399,3.54530009200244,0.971151231336711,3.65061586455759,0.000261612260470714,0.0330651292598324
"gene-MFAP4|MFAP4",207.038929898297,3.92877184369368,1.07593769651963,3.65148637918554,0.000260726929342195,0.0330651292598324
"gene-TFCP2L1|TFCP2L1",283.683071686861,4.04394767512462,1.10728262109988,3.65213686015203,0.000260067211567969,0.0330651292598324
"gene-DHX58|DHX58",200.262073096563,4.49269268585048,1.23130654349945,3.64871989803773,0.000263550260822735,0.0331229375554236
"gene-IDNK|IDNK",131.846963762904,3.74560952266775,1.02970473683492,3.63755685360921,0.000275236450227774,0.0342073034891419
"gene-SLC15A2|SLC15A2",448.590823576445,3.57506530917837,0.982734149993756,3.63787633634293,0.000274895350054813,0.0342073034891419
"gene-EPHA1|EPHA1",90.1636579196241,3.14631737902144,0.866316872056601,3.63183204726488,0.000281416259751715,0.0345910063016792
"gene-B2M|B2M",1470.13874418758,3.70248030740794,1.01913819227864,3.63295217023489,0.000280196972068627,0.0345910063016792
"gene-ANO1|ANO1",408.934561653307,3.86265691057049,1.06400202001735,3.63030975308439,0.000283081293992154,0.0346055280213031
"gene-GANAB|GANAB",1911.15807313356,0.466702587527032,0.128785101338139,3.62388647970742,0.00029020902042295,0.0350386198431799
"gene-ABHD14B|ABHD14B",754.884517649187,3.58034082240879,0.988162881353343,3.62322941892466,0.000290947545138279,0.0350386198431799
"gene-TPD52|TPD52",789.02877229928,3.87516154724227,1.06963087555709,3.6228961184614,0.000291322841662486,0.0350386198431799
"gene-DSC2|DSC2",126.325598875208,4.3023580238961,1.18863174965584,3.61958867844631,0.000295071678721276,0.0351619378019349
"gene-LOC100688281|LOC100688281",723.208474041156,3.4429694573456,0.951301357477876,3.61922058691656,0.000295491677026676,0.0351619378019349
"gene-SLC37A3|SLC37A3",400.664488904971,3.24934237418282,0.898595344322103,3.61602404765864,0.000299162596615331,0.0354104044914369
"gene-LOC106558176|LOC106558176",21.6345673885088,3.74169689345945,1.03550706521557,3.61339581268865,0.000302212823469744,0.0355831740728507
"gene-ADAMTS16|ADAMTS16",160.846938229865,5.11839409945003,1.41962354460756,3.60545872804959,0.000311602012478691,0.0364965896395853
"gene-GABRE|GABRE",140.046379731488,3.97187880769613,1.10346854164992,3.59944906246019,0.000318892088846062,0.0371559110394545
"gene-SLC26A3|SLC26A3",186.491693591716,5.54557774195663,1.54731732240901,3.58399512604355,0.000338378401377822,0.0392220892084106
"gene-SPTLC3|SPTLC3",536.113066312333,3.03570398472337,0.849371396990222,3.57405958745549,0.000351488884844541,0.040531741458027
"gene-TNK1|TNK1",76.3699119788975,3.50099126051851,0.981387169980341,3.56739049338565,0.000360553977572564,0.0413638617039786
"gene-FAT2|FAT2",149.925277717728,3.07161771120684,0.861711042547868,3.56455651551687,0.000364471916226466,0.0413888387710776
"gene-LOC480043|LOC480043",3946.17706496711,3.03717222204444,0.851771380131693,3.56571292824474,0.00036286840695234,0.0413888387710776
"gene-LOC111095592|LOC111095592",42.6777695198639,-1.01426482860996,0.284701842476418,-3.56255098241583,0.000367268554662278,0.0414957820017667
"gene-LOC119869295|LOC119869295",32.4505638294882,-2.17163950964938,0.609822176992476,-3.5611028781529,0.000369300339633699,0.0415156678288717
"gene-MPPED2|MPPED2",269.514448707961,3.72374196937843,1.04808887914807,3.55288758755386,0.00038102725050656,0.0426198031054113
"gene-NIN|NIN",329.655496415235,3.02672693368499,0.853911402838593,3.54454446166601,0.000393292166050334,0.0437728310781692
"gene-ELF1|ELF1",530.750601551065,3.02222221541255,0.853189120438496,3.542265299702,0.000396706270331265,0.0439342374929739
"gene-HPN|HPN",265.882901074052,3.87701966332149,1.09692189944587,3.53445369746018,0.000408619021354301,0.0441940355716745
"gene-CAV1|CAV1",198.152589968001,3.07497037087605,0.869549940824406,3.53627805202392,0.000405807331012542,0.0441940355716745
"gene-CD9|CD9",582.640377034306,2.89548987359545,0.818498392440496,3.53756329925346,0.000403837373683731,0.0441940355716745
"gene-NRIP1|NRIP1",644.662653434852,3.20161143045275,0.90481161131233,3.53842876287712,0.000402515875086778,0.0441940355716745
"gene-PGAP1|PGAP1",258.949876039764,4.12828607947665,1.16807886709377,3.53425286234994,0.000408929657294561,0.0441940355716745
"gene-WLS|WLS",2811.4037882007,2.11643096739666,0.599560879771278,3.52996841322277,0.000415609282708496,0.0445621837929215
